2017-02-26 17:22:21,686 [Thread-10] ERROR org.eclipse.jgit.util.FS - fatal: Could not switch to '/Applications/Xcode.app/Contents/Developer/usr/etc/': No such file or directory

2017-02-26 17:24:04,341 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' /Users/tylerlugger/Dropbox/School/CSCI4448/RoutineMe/RoutineMeApp/pom.xml
2017-02-26 17:24:19,019 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.csci4448.RoutineMe:RoutineMeApp:0.0.1-SNAPSHOT @ /Users/tylerlugger/Dropbox/School/CSCI4448/RoutineMe/RoutineMeApp/pom.xml.
2017-02-26 17:24:26,841 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RoutineMeApp/src/main/java
2017-02-26 17:24:26,870 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /RoutineMeApp/src/main/resources
2017-02-26 17:24:26,871 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RoutineMeApp/src/test/java
2017-02-26 17:25:28,319 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 83 sec
2017-02-26 17:25:34,211 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-26 17:25:34,319 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-26 17:25:34,323 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-26 17:25:34,424 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tylerlugger/Dropbox/School/CSCI4448/RoutineMe/RoutineMeApp/src/test/resources
2017-02-26 17:25:47,095 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-26 17:25:47,123 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-26 17:25:47,125 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-26 17:25:47,125 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tylerlugger/Dropbox/School/CSCI4448/RoutineMe/RoutineMeApp/src/test/resources
2017-02-26 17:25:48,224 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-26 17:25:48,225 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-26 17:25:48,227 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-26 17:25:48,358 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tylerlugger/Dropbox/School/CSCI4448/RoutineMe/RoutineMeApp/src/test/resources
2017-02-26 17:27:14,438 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.csci4448.RoutineMe:RoutineMeApp:0.0.1-SNAPSHOT @ /Users/tylerlugger/Dropbox/School/CSCI4448/RoutineMe/RoutineMeApp/pom.xml.
2017-02-26 17:27:18,610 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-26 17:27:18,645 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-26 17:27:18,648 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-26 17:27:18,649 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/tylerlugger/Dropbox/School/CSCI4448/RoutineMe/RoutineMeApp/src/test/resources
2017-02-26 17:27:18,785 [Worker-3] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of RoutineMeApp
2017-02-26 17:27:18,827 [Worker-3] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for RoutineMeApp
